63,0,13,2,50000,1
26,1,11,1,0,1
51,0,13,1,325000,1
42,0,9,1,64000,1
43,1,13,1,0,1
51,0,14,1,103000,1
69,0,11,1,90300,1
52,0,10,1,60000,0
74,0,13,1,21100,1
22,0,12,1,31000,1
43,1,9,1,8610,0
56,0,11,2,44200,0
31,1,9,3,4600,0
38,0,9,3,7200,0
89,1,13,1,7000,0
62,1,12,1,10800,1
75,1,11,1,8200,1
34,1,12,1,10000,1
35,0,2,3,32000,1
35,0,13,1,60000,0
45,1,9,4,0,1
19,0,6,3,19000,1
32,0,8,1,40000,1
47,1,11,1,65000,0
72,1,9,1,3600,1
49,0,14,1,132000,0
48,0,11,4,49000,0
32,0,14,1,66200,0
28,0,11,3,13000,1
20,0,11,1,1600,0
57,0,16,1,123000,1
18,0,10,2,2400,0
35,0,12,3,27000,1
45,0,13,4,80000,1
72,0,8,1,14000,1
54,0,12,1,125700,1
39,1,10,3,80000,0
40,1,9,1,0,1
63,1,1,3,3030,0
19,1,10,1,2100,0
40,1,12,3,17100,0
59,1,12,1,13000,0
42,0,13,1,33400,1
42,0,9,2,0,1
38,1,16,1,60000,0
61,0,9,1,38000,1
55,1,11,3,12600,0
54,1,13,3,3200,0
80,0,14,1,41300,1
46,0,12,4,50000,1
79,1,13,1,31900,1
46,0,13,6,140000,1
28,1,9,1,12000,0
38,1,11,1,29900,0
34,1,13,1,31030,1
22,0,13,4,760,0
48,0,8,1,57000,0
42,0,3,3,19200,1
23,0,9,3,46000,0
29,1,11,2,30000,0
65,1,1,4,0,0
54,0,13,1,42500,1
34,0,9,2,12100,0
61,1,9,1,25000,1
70,1,6,1,0,0
82,0,9,1,10100,1
48,0,13,1,44000,1
66,1,9,1,13800,1
27,1,13,4,15200,1
42,0,9,1,14000,1
47,1,11,1,59000,1
70,0,13,1,51100,1
47,0,9,1,27500,1
47,0,9,1,45000,1
39,1,9,1,24000,1
33,1,9,3,2200,0
84,0,11,1,151800,1
39,0,9,1,80000,1
55,1,11,1,0,1
26,0,13,4,38800,1
65,0,7,2,40900,1
78,1,1,4,6400,0
57,1,9,1,30000,0
35,0,9,1,32000,1
28,0,13,3,40000,0
74,1,10,2,7900,0
54,1,11,1,4600,1
80,0,11,1,16900,1
32,1,3,3,0,1
21,1,7,3,1100,0
43,0,5,3,13400,1
24,0,14,3,40000,1
60,1,9,1,19000,0
22,0,7,3,22000,1
30,0,13,1,0,0
30,0,2,3,4000,1
35,1,13,1,460,1
23,0,9,1,14300,0
29,0,15,4,60400,1
66,1,1,3,5000,0
18,0,3,3,0,0
69,1,11,3,11900,1
40,1,11,2,18000,1
57,1,11,1,50020,1
51,0,11,1,6000,0
82,1,13,1,29100,1
57,0,9,1,35000,1
34,1,9,1,16600,1
20,0,7,1,25000,0
28,0,10,1,280,0
20,1,11,3,7200,0
23,1,9,3,13000,0
80,1,11,1,18500,0
34,0,11,3,45000,0
46,1,12,4,39300,1
50,1,13,1,50000,0
32,0,13,1,1e+05,1
56,0,15,1,93700,1
18,1,7,1,2000,0
48,1,12,1,35500,1
45,0,14,4,84900,1
60,0,8,3,71600,1
83,0,9,1,29400,0
41,0,11,2,72000,0
33,0,8,4,17400,1
33,0,5,3,5200,0
52,0,9,1,34440,1
42,0,3,3,22900,1
69,1,11,1,7000,1
25,1,13,4,0,0
68,0,9,1,343000,1
25,0,9,4,4500,0
55,1,7,1,0,1
41,0,5,3,7000,1
75,1,10,1,8320,0
39,0,8,2,29000,0
40,0,11,1,76000,1
39,0,11,4,48800,1
48,0,13,1,325000,1
81,0,11,1,12600,1
70,0,13,1,36100,0
82,1,9,3,9600,0
45,0,15,1,64000,1
